%% --------- Crop rotation time-series for AquaCropOS --------- %%
%% PlantDate	HarvestDate	Crop %%
01/05/1983  30/09/1983  Maize
01/05/1984	30/09/1984	Maize
01/05/1985	30/09/1985	Maize
01/05/1986	30/09/1986	Maize
01/05/1987	30/09/1987	Maize
01/05/1988	30/09/1988	Maize
01/05/1989	30/09/1989	Maize
01/05/1990	30/09/1990	Maize
01/05/1991	30/09/1991	Maize
01/05/1992	30/09/1992	Maize
01/05/1993	30/09/1993	Maize
01/05/1994	30/09/1994	Maize
01/05/1995	30/09/1995	Maize
01/05/1996	30/09/1996	Maize
01/05/1997	30/09/1997	Maize
01/05/1998	30/09/1998	Maize
01/05/1999	30/09/1999	Maize
01/05/2000	30/09/2000	Maize
01/05/2001	30/09/2001	Maize
01/05/2002	30/09/2002	Maize
01/05/2003	30/09/2003	Maize
01/05/2004	30/09/2004	Maize
01/05/2005	30/09/2005	Maize
01/05/2006	30/09/2006	Maize
01/05/2007	30/09/2007	Maize
01/05/2008	30/09/2008	Maize
01/05/2009	30/09/2009	Maize
01/05/2010	30/09/2010	Maize
01/05/2011	30/09/2011	Maize
01/05/2012	30/09/2012	Maize
01/05/2013	30/09/2013	Maize
01/05/2014	30/09/2014	Maize
01/05/2015	30/09/2015	Maize
