Year	Month	Day	SimDay	Season	GDD	TotGDD	Root Depth	CC	RefCC	Bio	RefBio	HI	HIadj	Yield	
1982	 5	 1	       1	1	 5.62	  5.62	0.30	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	 2	       2	1	 8.88	 14.50	0.30	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	 3	       3	1	12.56	 27.06	0.30	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	 4	       4	1	 8.94	 36.00	0.30	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	 5	       5	1	 1.28	 37.28	0.30	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	 6	       6	1	 3.50	 40.78	0.30	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	 7	       7	1	 6.28	 47.06	0.30	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	 8	       8	1	 8.78	 55.84	0.30	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	 9	       9	1	10.33	 66.17	0.31	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	10	      10	1	 9.22	 75.39	0.34	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	11	      11	1	 0.72	 76.11	0.34	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	12	      12	1	 2.11	 78.23	0.34	 0.000	 0.000	  0.00	  0.00	0.0000	0.0000	  0.00	
1982	 5	13	      13	1	 2.39	 80.61	0.35	 0.005	 0.005	  0.02	  0.02	0.0000	0.0000	  0.00	
1982	 5	14	      14	1	 4.61	 85.23	0.36	 0.005	 0.005	  0.11	  0.11	0.0000	0.0000	  0.00	
1982	 5	15	      15	1	 4.61	 89.84	0.37	 0.006	 0.006	  0.20	  0.20	0.0000	0.0000	  0.00	
1982	 5	16	      16	1	 5.89	 95.73	0.39	 0.006	 0.006	  0.37	  0.37	0.0000	0.0000	  0.00	
1982	 5	17	      17	1	 7.00	102.73	0.41	 0.007	 0.007	  0.63	  0.63	0.0000	0.0000	  0.00	
1982	 5	18	      18	1	 9.06	111.78	0.43	 0.007	 0.007	  1.01	  1.01	0.0000	0.0000	  0.00	
1982	 5	19	      19	1	10.33	122.11	0.45	 0.008	 0.008	  1.49	  1.49	0.0000	0.0000	  0.00	
1982	 5	20	      20	1	 4.33	126.45	0.46	 0.009	 0.009	  1.61	  1.61	0.0000	0.0000	  0.00	
1982	 5	21	      21	1	 5.72	132.17	0.47	 0.010	 0.010	  1.87	  1.87	0.0000	0.0000	  0.00	
1982	 5	22	      22	1	 6.83	139.00	0.49	 0.010	 0.010	  2.25	  2.25	0.0000	0.0000	  0.00	
1982	 5	23	      23	1	 9.50	148.50	0.51	 0.012	 0.012	  2.88	  2.88	0.0000	0.0000	  0.00	
1982	 5	24	      24	1	 3.67	152.17	0.52	 0.012	 0.012	  3.00	  3.00	0.0000	0.0000	  0.00	
1982	 5	25	      25	1	 5.72	157.89	0.53	 0.013	 0.013	  3.35	  3.35	0.0000	0.0000	  0.00	
1982	 5	26	      26	1	 6.72	164.61	0.54	 0.014	 0.014	  3.87	  3.87	0.0000	0.0000	  0.00	
1982	 5	27	      27	1	 9.89	174.50	0.56	 0.016	 0.016	  4.75	  4.75	0.0000	0.0000	  0.00	
1982	 5	28	      28	1	 7.00	181.50	0.58	 0.018	 0.018	  5.43	  5.43	0.0000	0.0000	  0.00	
1982	 5	29	      29	1	 7.56	189.06	0.59	 0.020	 0.020	  6.27	  6.27	0.0000	0.0000	  0.00	
1982	 5	30	      30	1	 3.11	192.17	0.60	 0.020	 0.020	  6.41	  6.41	0.0000	0.0000	  0.00	
1982	 5	31	      31	1	 4.61	196.78	0.61	 0.022	 0.022	  6.76	  6.76	0.0000	0.0000	  0.00	
1982	 6	 1	      32	1	 3.50	200.28	0.61	 0.023	 0.023	  6.96	  6.96	0.0000	0.0000	  0.00	
1982	 6	 2	      33	1	 2.83	203.11	0.62	 0.023	 0.023	  7.09	  7.09	0.0000	0.0000	  0.00	
1982	 6	 3	      34	1	 1.72	204.84	0.62	 0.024	 0.024	  7.15	  7.15	0.0000	0.0000	  0.00	
1982	 6	 4	      35	1	 6.56	211.39	0.63	 0.026	 0.026	  8.03	  8.03	0.0000	0.0000	  0.00	
1982	 6	 5	      36	1	 9.22	220.61	0.65	 0.029	 0.029	  9.54	  9.54	0.0000	0.0000	  0.00	
1982	 6	 6	      37	1	10.89	231.50	0.67	 0.033	 0.033	 11.40	 11.40	0.0000	0.0000	  0.00	
1982	 6	 7	      38	1	 6.83	238.34	0.69	 0.036	 0.036	 12.71	 12.71	0.0000	0.0000	  0.00	
1982	 6	 8	      39	1	12.56	250.89	0.71	 0.042	 0.042	 15.17	 15.17	0.0000	0.0000	  0.00	
1982	 6	 9	      40	1	 6.28	257.17	0.72	 0.046	 0.046	 16.59	 16.59	0.0000	0.0000	  0.00	
1982	 6	10	      41	1	 6.83	264.00	0.73	 0.050	 0.050	 18.39	 18.39	0.0000	0.0000	  0.00	
1982	 6	11	      42	1	 8.11	272.11	0.75	 0.055	 0.055	 20.91	 20.91	0.0000	0.0000	  0.00	
1982	 6	12	      43	1	 7.83	279.95	0.76	 0.061	 0.061	 23.57	 23.57	0.0000	0.0000	  0.00	
1982	 6	13	      44	1	 8.67	288.61	0.78	 0.068	 0.068	 26.85	 26.85	0.0000	0.0000	  0.00	
1982	 6	14	      45	1	11.44	300.06	0.80	 0.078	 0.078	 31.18	 31.18	0.0000	0.0000	  0.00	
1982	 6	15	      46	1	 6.44	306.50	0.81	 0.085	 0.085	 33.88	 33.88	0.0000	0.0000	  0.00	
1982	 6	16	      47	1	 8.22	314.73	0.82	 0.094	 0.094	 38.14	 38.14	0.0000	0.0000	  0.00	
1982	 6	17	      48	1	 9.50	324.23	0.84	 0.106	 0.106	 43.49	 43.49	0.0000	0.0000	  0.00	
1982	 6	18	      49	1	 6.17	330.39	0.85	 0.115	 0.115	 46.79	 46.79	0.0000	0.0000	  0.00	
1982	 6	19	      50	1	 7.94	338.34	0.86	 0.127	 0.127	 52.19	 52.19	0.0000	0.0000	  0.00	
1982	 6	20	      51	1	 9.50	347.84	0.88	 0.143	 0.143	 59.23	 59.23	0.0000	0.0000	  0.00	
1982	 6	21	      52	1	12.28	360.11	0.90	 0.166	 0.166	 68.20	 68.20	0.0000	0.0000	  0.00	
1982	 6	22	      53	1	10.33	370.45	0.91	 0.189	 0.189	 77.68	 77.68	0.0000	0.0000	  0.00	
1982	 6	23	      54	1	11.72	382.17	0.93	 0.219	 0.219	 88.87	 88.87	0.0000	0.0000	  0.00	
1982	 6	24	      55	1	10.89	393.06	0.95	 0.251	 0.251	101.23	101.23	0.0000	0.0000	  0.00	
1982	 6	25	      56	1	 8.94	402.00	0.97	 0.280	 0.280	113.52	113.52	0.0000	0.0000	  0.00	
1982	 6	26	      57	1	 9.22	411.23	0.98	 0.315	 0.315	127.34	127.34	0.0000	0.0000	  0.00	
1982	 6	27	      58	1	12.56	423.78	1.00	 0.368	 0.368	145.07	145.07	0.0000	0.0000	  0.00	
1982	 6	28	      59	1	12.83	436.61	1.02	 0.432	 0.432	165.15	165.15	0.0000	0.0000	  0.00	
1982	 6	29	      60	1	15.33	451.95	1.04	 0.520	 0.520	188.18	188.18	0.0000	0.0000	  0.00	
1982	 6	30	      61	1	12.83	464.78	1.06	 0.585	 0.585	213.22	213.22	0.0000	0.0000	  0.00	
1982	 7	 1	      62	1	14.50	479.28	1.09	 0.647	 0.647	240.03	240.03	0.0000	0.0000	  0.00	
1982	 7	 2	      63	1	13.11	492.39	1.11	 0.694	 0.694	268.13	268.13	0.0000	0.0000	  0.00	
1982	 7	 3	      64	1	13.67	506.06	1.13	 0.736	 0.736	297.30	297.30	0.0000	0.0000	  0.00	
