GSeason	Crop	PlantD	PlantSD	HarvestCD	HarvestSD	Yield	TotIrr	
   1	Maize	01/05/1982	       1	23/10/1982	     176	13.53	345.03	
   2	Maize	01/05/1983	     366	27/09/1983	     515	12.38	470.63	
   3	Maize	01/05/1984	     732	22/09/1984	     876	13.04	552.86	
   4	Maize	01/05/1985	    1097	26/09/1985	    1245	13.31	512.16	
   5	Maize	01/05/1986	    1462	23/09/1986	    1607	13.30	358.00	
   6	Maize	01/05/1987	    1827	25/09/1987	    1974	13.77	417.14	
   7	Maize	01/05/1988	    2193	18/09/1988	    2333	13.07	430.09	
   8	Maize	01/05/1989	    2558	30/09/1989	    2710	13.45	409.41	
   9	Maize	01/05/1990	    2923	24/09/1990	    3069	13.10	506.92	
  10	Maize	01/05/1991	    3288	15/09/1991	    3425	13.63	389.20	
  11	Maize	01/05/1992	    3654	10/10/1992	    3816	14.58	327.60	
  12	Maize	01/05/1993	    4019	21/10/1993	    4192	14.21	198.01	
  13	Maize	01/05/1994	    4384	13/09/1994	    4519	13.49	431.29	
  14	Maize	01/05/1995	    4749	15/10/1995	    4916	13.41	362.33	
  15	Maize	01/05/1996	    5115	07/10/1996	    5274	13.89	158.47	
  16	Maize	01/05/1997	    5480	27/09/1997	    5629	13.51	479.40	
  17	Maize	01/05/1998	    5845	18/09/1998	    5985	13.30	367.70	
  18	Maize	01/05/1999	    6210	29/09/1999	    6361	13.24	362.41	
  19	Maize	01/05/2000	    6576	14/09/2000	    6712	13.07	557.86	
  20	Maize	01/05/2001	    6941	21/09/2001	    7084	13.11	459.07	
  21	Maize	01/05/2002	    7306	17/09/2002	    7445	13.02	579.88	
  22	Maize	01/05/2003	    7671	25/09/2003	    7818	13.44	536.12	
  23	Maize	01/05/2004	    8037	07/10/2004	    8196	14.63	356.78	
  24	Maize	01/05/2005	    8402	23/09/2005	    8547	13.75	414.00	
  25	Maize	01/05/2006	    8767	16/09/2006	    8905	13.43	398.59	
  26	Maize	01/05/2007	    9132	18/09/2007	    9272	13.34	336.71	
  27	Maize	01/05/2008	    9498	06/10/2008	    9656	14.12	356.92	
  28	Maize	01/05/2009	    9863	29/10/2009	   10044	14.55	278.65	
  29	Maize	01/05/2010	   10228	23/09/2010	   10373	13.77	359.78	
  30	Maize	01/05/2011	   10593	25/09/2011	   10740	13.22	350.17	
  31	Maize	01/05/2012	   10959	14/09/2012	   11095	13.42	734.70	
  32	Maize	01/05/2013	   11324	21/09/2013	   11467	13.76	458.85	
  33	Maize	01/05/2014	   11689	29/09/2014	   11840	14.25	306.09	
  34	Maize	01/05/2015	   12054	26/09/2015	   12202	14.15	397.73	
  35	Maize	01/05/2016	   12420	23/09/2016	   12565	13.89	357.97	
