Year	Month	Day	SimDay	Season	0.05m	0.15m	0.25m	0.375m	0.525m	0.7m	0.9m	1.125m	1.375m	1.625m	1.875m	2.15m	
1982	 5	 1	       1	1	0.1983	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	 2	       2	1	0.2440	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	 3	       3	1	0.2691	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	 4	       4	1	0.3278	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	 5	       5	1	0.4068	0.1626	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	 6	       6	1	0.3927	0.2343	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	 7	       7	1	0.3813	0.2950	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	 8	       8	1	0.3674	0.3205	0.1766	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	 9	       9	1	0.3344	0.3244	0.2142	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	10	      10	1	0.3491	0.3170	0.2390	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	11	      11	1	0.4117	0.3199	0.2642	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	12	      12	1	0.4283	0.3326	0.3149	0.1581	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	13	      13	1	0.4248	0.3383	0.3257	0.2060	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
1982	 5	14	      14	1	0.4175	0.3389	0.3261	0.2625	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	0.1500	
