Year	Month	Day	SimDay	Season	wRZ	zGW	wSurf	Irr	Infl	RO	DP	CR	GWin	Es	EsX	Tr	TrX	
1982	 5	 1	       1	1	 49.83	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 5.17	 5.17	 0.00	 0.00	
1982	 5	 2	       2	1	 54.40	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 5.44	 5.44	 0.00	 0.00	
1982	 5	 3	       3	1	 56.91	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 7.48	 7.48	 0.00	 0.00	
1982	 5	 4	       4	1	 62.78	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 4.14	 4.14	 0.00	 0.00	
1982	 5	 5	       5	1	 71.95	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 0.83	 0.83	 0.00	 0.00	
1982	 5	 6	       6	1	 77.69	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 4.25	 4.25	 0.00	 0.00	
1982	 5	 7	       7	1	 82.63	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 5.06	 5.06	 0.00	 0.00	
1982	 5	 8	       8	1	 86.44	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 6.19	 6.19	 0.00	 0.00	
1982	 5	 9	       9	1	 88.80	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 9.14	 9.14	 0.00	 0.00	
1982	 5	10	      10	1	 96.52	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 6.79	 6.79	 0.00	 0.00	
1982	 5	11	      11	1	105.59	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 0.93	 0.93	 0.00	 0.00	
1982	 5	12	      12	1	113.91	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 0.80	 0.80	 0.00	 0.00	
1982	 5	13	      13	1	119.19	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 1.49	 1.49	 0.01	 0.01	
1982	 5	14	      14	1	124.01	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 2.14	 2.14	 0.02	 0.02	
1982	 5	15	      15	1	128.62	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 3.25	 3.25	 0.03	 0.03	
1982	 5	16	      16	1	133.98	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 4.10	 4.10	 0.04	 0.04	
1982	 5	17	      17	1	139.50	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 4.17	 4.17	 0.05	 0.05	
1982	 5	18	      18	1	143.32	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 6.37	 6.37	 0.08	 0.08	
1982	 5	19	      19	1	148.29	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 6.18	 6.18	 0.09	 0.09	
1982	 5	20	      20	1	153.73	-999.00	  0.00	10.00	10.00	 0.00	 0.00	 0.00	 0.00	 3.41	 3.41	 0.05	 0.05	
