type,center_x,center_y,radius
Marigold,209,312,12
Dill,1371,134,12
Marigold,225,235,13
Marigold,865,802,13
Unknown,1199,735,13
Unknown,1214,741,13
Marigold,1227,797,14
Marigold,543,293,15
Unknown,609,610,16
Dill,667,480,16
Bok Choy,1146,530,16
Dill,1259,152,16
Marigold,507,731,17
Unknown,765,904,17
Dill,870,642,17
Dill,922,674,17
Dill,1118,230,17
Dill,1159,803,17
Marigold,1185,587,17
Unknown,1301,732,17
Dill,1596,658,17
Unknown,1901,231,17
Marigold,60,490,18
Dill,522,514,18
Dill,698,730,18
Dill,1018,692,18
Dill,1226,502,18
Unknown,1289,840,18
Unknown,261,162,19
Unknown,332,128,19
Dill,810,279,19
Dill,915,952,19
Unknown,975,953,19
Marigold,1079,535,19
Unknown,1326,873,19
Marigold,1680,719,19
Unknown,493,227,20
Calendula,683,1059,20
Unknown,785,1032,20
Marigold,813,592,20
Calendula,970,907,20
Calendula,1024,878,20
Dill,1540,763,20
Bok Choy,200,608,21
Unknown,217,469,21
Unknown,524,281,21
Unknown,870,385,21
Calendula,881,1030,21
Marigold,1025,755,21
Calendula,1088,185,21
Unknown,1104,630,21
Dill,1609,105,21
Calendula,1619,387,21
Unknown,1790,50,21
Dill,1796,200,21
Unknown,159,587,22
Dill,684,565,22
Unknown,816,1036,22
Unknown,1088,143,22
Calendula,1136,178,22
Dill,1161,732,22
Dill,1452,476,22
Dill,1514,631,22
Dill,466,579,23
Marigold,476,20,23
Bok Choy,1103,974,23
Dill,1192,644,23
Dill,1400,1057,23
Dill,1702,288,23
Dill,329,532,24
Bok Choy,615,576,24
Calendula,659,25,24
Unknown,661,575,24
Unknown,736,123,24
Unknown,1097,235,24
Bok Choy,1108,773,24
Unknown,1230,209,24
Dill,1315,633,24
Dill,1602,598,24
Unknown,29,478,25
Unknown,88,504,25
Dill,153,894,25
Unknown,527,383,25
Dill,617,462,25
Bok Choy,722,62,25
Dill,944,892,25
Marigold,1327,672,25
Unknown,1463,698,25
Dill,1551,980,25
Marigold,1565,28,25
Dill,1758,942,25
Dill,1760,906,25
Bok Choy,209,565,26
Bok Choy,233,956,26
Unknown,424,220,26
Bok Choy,529,431,26
Unknown,726,763,26
Calendula,759,71,26
Bok Choy,772,157,26
Calendula,1124,266,26
Bok Choy,1132,754,26
Dill,1175,200,26
Bok Choy,1279,450,26
Marigold,1416,348,26
Dill,1611,263,26
Unknown,220,158,27
Unknown,563,168,27
Bok Choy,1231,469,27
Bok Choy,1345,699,27
Unknown,1733,718,27
Unknown,1831,934,27
Bok Choy,77,68,28
Calendula,91,840,28
Bok Choy,167,937,28
Calendula,426,976,28
Unknown,556,215,28
Bok Choy,955,213,28
Dill,1014,966,28
Dill,1131,1018,28
Unknown,1158,621,28
Bok Choy,285,952,29
Bok Choy,401,584,29
Calendula,495,975,29
Unknown,670,724,29
Unknown,793,688,29
Unknown,1048,846,29
Dill,1065,739,29
Unknown,1244,820,29
Dill,1389,183,29
Unknown,1666,245,29
Unknown,247,664,30
Dill,286,557,30
Unknown,319,950,30
Bok Choy,355,567,30
Bok Choy,410,511,30
Bok Choy,448,867,30
